高三毕业典礼,@@72f15f7675a3890df3a1b623d17a0c02d0f45e080138fefa2a6347cbca821e0d
校友数据URT - UI Team,@@d5d1dfb2afd584bde998a84538b1cf51b3c18e0de3840e33f3979cff6b8a8316
校友会网络运维组,@@0a76104f333ca75ff611b86e75df439864a232df416a9facd77faec60bb1e54d
校友会志愿者协会,@@56c22410af41260f7a18a1ab9906572e68ed1dc351dff8764f9f91fa020b6b74
校友信息系统集中开发,@@5cd186dc1a2cc0c851740d9c9669835d05beabf875c395596ee1ebf14ac3bba2
ACM/ICPC 北京石油化工学院,@@f087ff46a6372dd50e3d53c14581ae6fdee17c5afdf2f8787e5bcdf70862f566
FPGA设计A组,@@bd506bb1d55d631703bcedeae1d9e680d4fa483cfc8a8afb0f1ec7d9579e0fcf
出勤率统计小组,@@2df2308c17cd3033894665712e62713ba559704947202a0f1b82e9591e0643cc
一起上清华<span class="emoji emoji1f639"></span>,@@aa86d617c227e30da484217504832734b7d22f55719cc15f1bd487c2a39ad9f4
亚信11月参观北京石油化工学院22,@@83fc267eb04b6bcd3a4a0dbc26b51a7a887022c90c43d58f82d9527de8de9a77
校友数据URT - Test&amp;Deploy Team,@@d75d4d434e2ec105d3e43afc56f134168694db8b2714e87b4375e41a5739d168
校友数据URT - Data&amp;Log Team,@@db97facf93aac83386dfaa8c9d98d86a42b0e3ab5ac7d4b5fdae2762f70c2557
校友数据URT - Server Team,@@5c113af4fde58389e56efd23ef22ff0ac49639e54277dc43e41d5bc62679eed5
大三挂科补考班（望京校区）,@@2d20eebb6e01d727254597d7ae8000d89d6bd2b5b11d83106a8024a4628d1e18
15级信息学院工作群,@@f13e72677eef84c3957b0a5fe3ca11fc74c5c6c76c23d3872a4277a9adc8bed5
15级工作群,@@7bf5265398ede236cf9ae3d3a0b376f754fa538f9489ceb5f7f59f16023f7587
大二大三班长工作群,@@cb230f5655d8cf6dc2e73c3c9e556bf3297ef16dca6d7bf63024df0736669dca
盒子鱼网络运营,@@601e4c5eab033510de3481b3d35f7028c7d24b2c2069c5787a2dde5e8e2a8aa2
这个群将来会有12个人,@@6acf8facf6859214a02a460012224472da47e57fdeeeed82f8a6585bd1bd1b55
15级班长群,@@8b66c99c1753abf23543908e838b79af7df8597d84d8379c215ae5cc574035a5
15级计算机高等数学,@@8513cdc4b9db9183d339215231a67126fb73f348349bc523c1452e28e7962eb0
19岁了（王万霖）,@@e093362969e14836041bd001c281f852710dcb4c6b87ddfc892345155a834d46
两条单身大胃狗吃饭现场,@@58b009d79162c743f1e882f2a7719df18e781f9f0058a47e644f4949192a96e3
全局光照渲染,@@b944616393e447cfbeb8348029ac129a1a656eafeed3812691cf7df65b607ed0
深度遗忘_招牌赛事,@@c9fa8ab88ce60a6339b61aa8a4dba8293cfa8811d1fc193ebcd92257b2218ac0
一家亲,@@55d3a7bbc0cab6ae19ab9e65f05ef23fef2b4d170a8f9fb75393d6110f7cc6cb
团办工作群,@@53c22e3f5913e426c7367c6d8d2ca1640da9e2b5d066c60aa1fab51c5294e5ab
二手男友交易中心,@@17fef0e19366f89c17c884e3062e966c9c9a6d8a64f590460cd395eaee88cd89
大北石化计153,@@b644903f072bee97b5ba447582e68aa9feb3cd33aa826e02282c3a8b52c07663
努力必过,@@ee59e55e10e229810e1d666ebb21373b7136f45fa4dda0069cfd04aec3ea2e10
小陌专业实习,@@0edfa2c1c78a0c1e9fb368721997b1b2cbae6a3fdb051436c35ed14739fb1fc3
